time	cholera_deaths
1909.25	1715
1909.333333	3115
1909.416667	1412
1909.5	182
1909.583333	50
1909.666667	37
1909.75	77
1909.833333	475
1909.916667	1730
1910.0	1489
1910.083333	620
1910.166667	190
1910.25	571
1910.333333	1558
1910.416667	440
1910.5	27
1910.583333	7
1910.666667	14
1910.75	93
1910.833333	1462
1910.916667	2467
1911.0	1703
1911.083333	1262
1911.166667	458
1911.25	453
1911.333333	717
1911.416667	232
1911.5	26
1911.583333	16
1911.666667	18
1911.75	9
1911.833333	78
1911.916667	353
1912.0	897
1912.083333	777
1912.166667	404
1912.25	799
1912.333333	2067
1912.416667	613
1912.5	98
1912.583333	19
1912.666667	26
1912.75	47
1912.833333	171
1912.916667	767
1913.0	1896
1913.083333	887
1913.166667	325
1913.25	816
1913.333333	1653
1913.416667	355
1913.5	85
1913.583333	54
1913.666667	88
1913.75	609
1913.833333	882
1913.916667	1363
1914.0	2178
1914.083333	580
1914.166667	396
1914.25	1493
1914.333333	2154
1914.416667	683
1914.5	78
1914.583333	19
1914.666667	10
1914.75	27
1914.833333	88
1914.916667	1178
1915.0	1862
1915.083333	611
1915.166667	478
1915.25	2697
1915.333333	3395
1915.416667	520
1915.5	67
1915.583333	41
1915.666667	36
1915.75	209
1915.833333	559
1915.916667	971
1916.0	2144
1916.083333	1099
1916.166667	494
1916.25	586
1916.333333	508
1916.416667	269
1916.5	27
1916.583333	19
1916.666667	21
1916.75	12
1916.833333	22
1916.916667	333
1917.0	676
1917.083333	487
1917.166667	262
1917.25	535
1917.333333	979
1917.416667	170
1917.5	25
1917.583333	9
1917.666667	19
1917.75	13
1917.833333	45
1917.916667	229
1918.0	673
1918.083333	432
1918.166667	107
1918.25	373
1918.333333	1126
1918.416667	339
1918.5	19
1918.583333	11
1918.666667	3
1918.75	15
1918.833333	101
1918.916667	539
1919.0	709
1919.083333	200
1919.166667	208
1919.25	926
1919.333333	1783
1919.416667	831
1919.5	103
1919.583333	37
1919.666667	17
1919.75	33
1919.833333	179
1919.916667	426
1920.0	795
1920.083333	481
1920.166667	491
1920.25	773
1920.333333	936
1920.416667	325
1920.5	101
1920.583333	22
1920.666667	25
1920.75	24
1920.833333	88
1920.916667	633
1921.0	513
1921.083333	298
1921.166667	93
1921.25	687
1921.333333	1750
1921.416667	356
1921.5	33
1921.583333	2
1921.666667	18
1921.75	70
1921.833333	648
1921.916667	2471
1922.0	1270
1922.083333	616
1922.166667	193
1922.25	706
1922.333333	1372
1922.416667	668
1922.5	107
1922.583333	58
1922.666667	21
1922.75	23
1922.833333	93
1922.916667	318
1923.0	867
1923.083333	332
1923.166667	118
1923.25	437
1923.333333	2233
1923.416667	491
1923.5	27
1923.583333	7
1923.666667	21
1923.75	96
1923.833333	360
1923.916667	783
1924.0	1492
1924.083333	550
1924.166667	176
1924.25	633
1924.333333	922
1924.416667	267
1924.5	91
1924.583333	42
1924.666667	4
1924.75	10
1924.833333	7
1924.916667	43
1925.0	377
1925.083333	563
1925.166667	284
1925.25	298
1925.333333	625
1925.416667	131
1925.5	35
1925.583333	12
1925.666667	8
1925.75	9
1925.833333	83
1925.916667	502
1926.0	551
1926.083333	256
1926.166667	198
1926.25	664
1926.333333	1701
1926.416667	425
1926.5	76
1926.583333	17
1926.666667	9
1926.75	16
1926.833333	5
1926.916667	141
1927.0	806
1927.083333	1603
1927.166667	587
1927.25	530
1927.333333	771
1927.416667	511
1927.5	97
1927.583333	35
1927.666667	39
1927.75	156
1927.833333	1097
1927.916667	1233
1928.0	1418
1928.083333	1125
1928.166667	420
1928.25	1592
1928.333333	4169
1928.416667	1535
1928.5	371
1928.583333	139
1928.666667	55
1928.75	85
1928.833333	538
1928.916667	1676
1929.0	1435
1929.083333	804
1929.166667	370
1929.25	477
1929.333333	394
1929.416667	306
1929.5	132
1929.583333	84
1929.666667	87
1929.75	53
1929.833333	391
1929.916667	1541
1930.0	1859
1930.083333	894
1930.166667	326
1930.25	853
1930.333333	1891
1930.416667	1009
1930.5	131
1930.583333	77
1930.666667	63
1930.75	66
1930.833333	33
1930.916667	178
1931.0	1003
1931.083333	1051
1931.166667	488
1931.25	911
1931.333333	1806
1931.416667	837
1931.5	280
1931.583333	132
1931.666667	76
1931.75	381
1931.833333	1328
1931.916667	2639
1932.0	2164
1932.083333	1082
1932.166667	326
1932.25	254
1932.333333	258
1932.416667	119
1932.5	106
1932.583333	93
1932.666667	29
1932.75	17
1932.833333	17
1932.916667	17
1933.0	46
1933.083333	79
1933.166667	135
1933.25	1290
1933.333333	2240
1933.416667	561
1933.5	116
1933.583333	24
1933.666667	15
1933.75	33
1933.833333	18
1933.916667	16
1934.0	38
1934.083333	26
1934.166667	45
1934.25	151
1934.333333	168
1934.416667	57
1934.5	32
1934.583333	29
1934.666667	27
1934.75	20
1934.833333	106
1934.916667	1522
1935.0	2013
1935.083333	434
1935.166667	205
1935.25	528
1935.333333	634
1935.416667	195
1935.5	45
1935.583333	33
1935.666667	19
1935.75	20
1935.833333	46
1935.916667	107
1936.0	725
1936.083333	572
1936.166667	183
1936.25	2199
1936.333333	4018
1936.416667	428
1936.5	67
1936.583333	31
1936.666667	8
1936.75	44
1936.833333	484
1936.916667	1324
1937.0	2054
1937.083333	467
1937.166667	216
1937.25	673
1937.333333	887
1937.416667	353
1937.5	73
1937.583333	46
1937.666667	15
1937.75	20
1937.833333	27
1937.916667	25
1938.0	38
1938.083333	158
1938.166667	312
1938.25	1226
1938.333333	1021
1938.416667	222
1938.5	90
1938.583333	31
1938.666667	93
1938.75	368
1938.833333	657
1938.916667	2208
1939.0	2178
1939.083333	702
1939.166667	157
1939.25	317
1939.333333	146
1939.416667	63
1939.5	27
1939.583333	22
1939.666667	23
1939.75	28
1939.833333	225
1939.916667	483
1940.0	319
1940.083333	120
1940.166667	59
1940.25	274
1940.333333	282
1940.416667	155
1940.5	31
1940.583333	16
1940.666667	15
1940.75	12
1940.833333	14
1940.916667	14
1941.0	42
