time	cases
2009	714
2016	523
2023	490
2030	379
2037	303
2044	273
2051	223
2058	158
2065	120
2072	92
2079	66
2086	42
2093	50
2100	40
2107	28
2114	44
2121	40
2128	63
2135	33
2142	28
2149	23
2156	28
2163	31
2170	26
2177	34
2184	32
2191	47
2198	43
2205	54
2212	36
2219	24
2226	42
2233	38
2240	71
2247	45
2254	75
2261	60
2268	54
2275	98
2282	118
2289	91
2296	171
2303	174
2310	203
2317	141
2324	262
2331	366
2338	463
2345	478
2352	613
2359	529
2366	645
2373	626
2380	649
2387	647
2394	601
2401	580
2408	664
2415	474
2422	362
2429	316
2436	199
2443	162
2450	146
2457	201
2464	217
2471	289
2478	303
2485	366
2492	471
2499	512
2506	544
2513	766
2520	827
2527	1210
2534	1236
2541	1534
2548	1556
2555	1922
2562	2753
2569	2425
2576	2185
2583	2210
2590	2368
2597	2929
2604	3178
2611	3746
2618	3315
2625	3501
2632	3136
2639	2518
2646	2360
2653	2083
2660	1610
2667	1211
2674	1017
2681	871
2688	881
2695	701
2702	748
2709	540
2716	420
2723	426
2730	335
2737	230
2744	226
2751	187
2758	155
2765	114
2772	93
2779	69
2786	58
2793	51
2800	68
2807	50
2814	35
2821	41
2828	18
2835	22
2842	32
2849	71
2856	53
2863	65
2870	50
2877	47
2884	22
2891	28
2898	30
2905	16
2912	28
2919	19
2926	46
2933	33
2940	44
2947	41
2954	50
2961	65
2968	103
2975	123
2982	153
2989	218
2996	256
3003	201
3010	270
3017	231
3024	210
3031	294
3038	275
3045	222
3052	240
3059	320
3066	330
3073	519
3080	553
3087	745
3094	639
3101	714
3108	605
3115	791
3122	730
3129	844
3136	944
3143	926
3150	751
3157	573
3164	412
3171	280
3178	240
3185	272
3192	354
3199	554
3206	682
3213	964
3220	1094
3227	1252
3234	989
3241	1208
3248	1129
3255	1560
3262	1488
3269	1404
3276	1797
3283	996
3290	2705
3297	1905
3304	1777
3311	1421
3318	1470
3325	1661
3332	1507
3339	1832
3346	1624
3353	1621
3360	1371
3367	1439
3374	1133
3381	953
3388	1032
3395	835
3402	629
3409	419
3416	369
3423	305
3430	345
3437	269
3444	297
3451	207
3458	291
3465	173
3472	145
3479	110
3486	107
3493	65
3500	80
3507	50
3514	67
3521	29
3528	20
3535	27
3542	19
3549	16
3556	13
3563	9
3570	13
3577	13
3584	19
3591	12
3598	31
3605	24
3612	15
3619	20
3626	12
3633	17
3640	12
3647	1
3654	9
3661	13
3668	18
3675	12
3682	11
3689	19
3696	16
3703	29
3710	33
3717	33
3724	41
3731	57
3738	32
3745	45
3752	67
3759	67
3766	93
3773	72
3780	71
3787	58
3794	61
3801	42
3808	68
3815	83
3822	93
3829	81
3836	94
3843	121
3850	191
3857	169
3864	147
3871	126
3878	123
3885	105
3892	81
3899	63
3906	57
3913	87
3920	80
3927	125
3934	159
3941	185
3948	204
3955	254
3962	285
3969	209
3976	262
3983	273
3990	390
3997	473
4004	548
4011	550
4018	988
4025	1004
4032	791
4039	656
4046	1137
4053	1295
4060	1945
4067	2402
4074	2694
4081	3412
4088	2626
4095	3685
4102	3337
4109	4103
4116	3089
4123	3291
4130	2614
4137	1789
4144	1236
4151	1063
4158	962
4165	923
4172	792
4179	932
4186	496
4193	506
4200	342
4207	380
4214	272
4221	192
4228	166
4235	130
4242	124
4249	82
4256	76
4263	58
4270	38
4277	22
4284	24
4291	32
4298	29
4305	41
4312	33
4319	33
4326	28
4333	36
4340	30
4347	29
4354	22
4361	20
4368	13
4375	15
4382	22
4389	26
4396	26
4403	20
4410	22
4417	26
4424	51
4431	61
4438	49
4445	76
4452	54
4459	56
4466	66
4473	76
4480	75
4487	114
4494	83
4501	80
4508	94
4515	166
4522	206
4529	249
4536	316
4543	317
4550	282
4557	280
4564	374
4571	305
4578	329
4585	287
4592	363
4599	258
4606	225
4613	245
4620	186
4627	172
4634	104
4641	98
4648	85
4655	100
4662	140
4669	146
4676	190
4683	195
4690	193
4697	232
4704	220
4711	314
4718	266
4725	390
4732	397
4739	397
4746	438
4753	798
4760	674
4767	680
4774	682
4781	971
4788	1353
4795	1508
4802	1945
4809	1876
4816	2225
4823	1832
4830	2034
4837	1724
4844	2007
4851	2016
4858	1767
4865	1780
4872	1640
4879	1169
4886	869
4893	1071
4900	893
4907	964
4914	856
4921	752
4928	584
4935	427
4942	344
4949	255
4956	219
4963	216
4970	162
4977	148
4984	90
4991	60
4998	53
5005	28
5012	28
5019	20
5026	23
5033	24
5040	27
5047	23
5054	23
5061	30
5068	36
5075	31
5082	37
5089	44
5096	40
5103	35
5110	23
5117	27
5124	39
5131	18
5138	39
5145	56
5152	64
5159	89
5166	153
5173	110
5180	210
5187	140
5194	232
5201	165
5208	250
5215	281
5222	444
5229	294
5236	283
5243	349
5250	436
5257	596
5264	549
5271	592
5278	457
5285	515
5292	475
5299	483
5306	537
5313	568
5320	508
5327	461
5334	318
5341	283
5348	221
5355	199
5362	118
5369	94
5376	100
5383	120
5390	122
5397	164
5404	198
5411	243
5418	300
5425	307
5432	326
5439	387
5446	398
5453	561
5460	633
5467	666
5474	617
5481	1466
5488	1068
5495	1001
5502	983
5509	1302
5516	1438
5523	1400
5530	1561
5537	1419
5544	1360
5551	1485
5558	1262
5565	1360
5572	1388
5579	1376
5586	972
5593	695
5600	675
5607	638
5614	719
5621	673
5628	687
5635	572
5642	585
5649	405
5656	404
5663	342
5670	310
5677	197
5684	180
5691	133
5698	117
5705	113
5712	90
5719	68
5726	43
5733	32
5740	29
5747	20
5754	26
5761	36
5768	25
5775	26
5782	15
5789	22
5796	19
5803	16
5810	19
5817	26
5824	16
5831	23
5838	18
5845	19
5852	17
5859	17
5866	16
5873	29
5880	44
5887	34
5894	47
5901	60
5908	95
5915	90
5922	100
5929	83
5936	86
5943	70
5950	81
5957	96
5964	112
5971	106
5978	93
5985	88
5992	99
5999	137
6006	146
6013	122
6020	134
6027	134
6034	101
6041	107
6048	163
6055	139
6062	147
6069	133
6076	114
6083	80
6090	61
6097	46
6104	54
6111	48
6118	86
6125	112
6132	173
6139	183
6146	261
6153	288
6160	301
6167	302
6174	400
6181	400
6188	499
6195	621
6202	726
6209	910
6216	1390
6223	1310
6230	1087
6237	1552
6244	2008
6251	2797
6258	3204
6265	3339
6272	3403
6279	2986
6286	3032
6293	2513
6300	2517
6307	2857
6314	2391
6321	1881
6328	1330
6335	992
6342	937
6349	873
6356	727
6363	682
6370	597
6377	440
6384	420
6391	347
6398	304
6405	210
6412	185
6419	190
6426	145
6433	120
6440	92
6447	107
6454	72
6461	49
6468	47
6475	39
6482	36
6489	40
6496	44
6503	45
6510	36
6517	51
6524	40
6531	33
6538	40
6545	30
6552	39
6559	20
6566	19
6573	26
6580	24
6587	30
6594	28
6601	33
6608	45
6615	48
6622	44
6629	77
6636	59
6643	83
6650	91
6657	112
6664	146
6671	109
6678	142
6685	131
6692	118
6699	109
6706	131
6713	85
6720	66
6727	66
6734	54
6741	68
6748	73
6755	65
6762	75
6769	68
6776	128
6783	137
6790	130
6797	112
6804	117
6811	91
6818	94
6825	83
6832	71
6839	57
6846	113
6853	166
6860	194
6867	186
6874	271
6881	317
6888	425
6895	345
6902	467
6909	558
6916	692
6923	868
6930	848
6937	633
6944	1370
6951	1103
6958	820
6965	877
6972	901
6979	1190
6986	1050
6993	1250
7000	1121
7007	1090
7014	983
7021	1016
7028	1199
7035	1287
7042	1175
7049	1450
7056	1332
7063	1102
7070	756
7077	713
7084	672
7091	775
7098	663
7105	862
7112	588
7119	571
7126	477
7133	471
7140	457
7147	503
7154	338
7161	231
7168	183
7175	175
7182	77
7189	74
7196	43
7203	15
7210	48
7217	37
7224	38
7231	27
7238	43
7245	38
7252	56
7259	48
7266	36
7273	54
7280	49
7287	29
7294	39
7301	16
7308	39
7315	37
7322	38
7329	39
7336	56
7343	79
7350	70
7357	65
7364	74
7371	86
7378	105
7385	143
7392	148
7399	143
7406	121
7413	125
7420	100
7427	110
7434	147
7441	179
7448	175
7455	239
7462	229
7469	256
7476	235
7483	330
7490	327
7497	375
7504	318
7511	423
7518	512
7525	408
7532	347
7539	260
7546	187
7553	180
7560	149
7567	160
7574	132
7581	132
7588	194
7595	238
7602	247
7609	299
7616	316
7623	469
7630	539
7637	563
7644	679
7651	695
7658	810
7665	666
7672	1157
